Flat profile:

Each sample counts as 0.01 seconds.
  %   cumulative   self              self     total           
 time   seconds   seconds    calls   s/call   s/call  name    
  0.00      3.02     0.00     9605     0.00     0.00  std::vector<int, std::allocator<int> >::size() const
  0.00      3.02     0.00     8194     0.00     0.00  __gnu_cxx::__normal_iterator<long*, std::vector<long, std::allocator<long> > >::base() const
  0.00      3.02     0.00     6410     0.00     0.00  std::__new_allocator<int>::~__new_allocator()
  0.00      3.02     0.00     6408     0.00     0.00  std::_Vector_base<int, std::allocator<int> >::_M_get_Tp_allocator()
  0.00      3.02     0.00     6404     0.00     0.00  __gnu_cxx::__normal_iterator<int const*, std::vector<int, std::allocator<int> > >::__normal_iterator(int const* const&)
  0.00      3.02     0.00     6404     0.00     0.00  __gnu_cxx::__normal_iterator<int const*, std::vector<int, std::allocator<int> > >::base() const
  0.00      3.02     0.00     6404     0.00     0.00  std::vector<int, std::allocator<int> >* std::__addressof<std::vector<int, std::allocator<int> > >(std::vector<int, std::allocator<int> >&)
  0.00      3.02     0.00     6404     0.00     0.00  __gnu_cxx::__normal_iterator<int const*, std::vector<int, std::allocator<int> > > std::__miter_base<__gnu_cxx::__normal_iterator<int const*, std::vector<int, std::allocator<int> > > >(__gnu_cxx::__normal_iterator<int const*, std::vector<int, std::allocator<int> > >)
  0.00      3.02     0.00     6404     0.00     0.00  int const* std::__niter_base<int const*, std::vector<int, std::allocator<int> > >(__gnu_cxx::__normal_iterator<int const*, std::vector<int, std::allocator<int> > >)
  0.00      3.02     0.00     4097     0.00     0.00  bool __gnu_cxx::operator!=<long*, std::vector<long, std::allocator<long> > >(__gnu_cxx::__normal_iterator<long*, std::vector<long, std::allocator<long> > > const&, __gnu_cxx::__normal_iterator<long*, std::vector<long, std::allocator<long> > > const&)
  0.00      3.02     0.00     4096     0.00     0.00  __gnu_cxx::__normal_iterator<long*, std::vector<long, std::allocator<long> > >::operator++()
  0.00      3.02     0.00     4096     0.00     0.00  __gnu_cxx::__normal_iterator<long*, std::vector<long, std::allocator<long> > >::operator*() const
  0.00      3.02     0.00     3204     0.00     0.00  void std::_Destroy_aux<true>::__destroy<int*>(int*, int*)
  0.00      3.02     0.00     3204     0.00     0.00  std::_Vector_base<int, std::allocator<int> >::_M_allocate(unsigned long)
  0.00      3.02     0.00     3204     0.00     0.00  std::_Vector_base<int, std::allocator<int> >::_Vector_impl::_Vector_impl(std::allocator<int> const&)
  0.00      3.02     0.00     3204     0.00     0.00  std::_Vector_base<int, std::allocator<int> >::_Vector_impl::~_Vector_impl()
  0.00      3.02     0.00     3204     0.00     0.00  std::_Vector_base<int, std::allocator<int> >::_M_deallocate(int*, unsigned long)
  0.00      3.02     0.00     3204     0.00     0.00  std::_Vector_base<int, std::allocator<int> >::_M_create_storage(unsigned long)
  0.00      3.02     0.00     3204     0.00     0.00  std::_Vector_base<int, std::allocator<int> >::_Vector_impl_data::_Vector_impl_data()
  0.00      3.02     0.00     3204     0.00     0.00  std::_Vector_base<int, std::allocator<int> >::_Vector_base(unsigned long, std::allocator<int> const&)
  0.00      3.02     0.00     3204     0.00     0.00  std::_Vector_base<int, std::allocator<int> >::~_Vector_base()
  0.00      3.02     0.00     3204     0.00     0.00  std::__new_allocator<int>::deallocate(int*, unsigned long)
  0.00      3.02     0.00     3204     0.00     0.00  std::__new_allocator<int>::allocate(unsigned long, void const*)
  0.00      3.02     0.00     3204     0.00     0.00  std::vector<int, std::allocator<int> >::~vector()
  0.00      3.02     0.00     3204     0.00     0.00  void std::_Destroy<int*>(int*, int*)
  0.00      3.02     0.00     3202     0.00     0.00  std::_Vector_base<int, std::allocator<int> >::_M_get_Tp_allocator() const
  0.00      3.02     0.00     3202     0.00     0.00  std::vector<int, std::allocator<int> >::end() const
  0.00      3.02     0.00     3202     0.00     0.00  std::vector<int, std::allocator<int> >::begin() const
  0.00      3.02     0.00     3202     0.00     0.00  int* std::__copy_move<false, true, std::random_access_iterator_tag>::__copy_m<int const, int>(int const*, int const*, int*)
  0.00      3.02     0.00     3202     0.00     0.00  int* std::__uninitialized_copy<true>::__uninit_copy<__gnu_cxx::__normal_iterator<int const*, std::vector<int, std::allocator<int> > >, int*>(__gnu_cxx::__normal_iterator<int const*, std::vector<int, std::allocator<int> > >, __gnu_cxx::__normal_iterator<int const*, std::vector<int, std::allocator<int> > >, int*)
  0.00      3.02     0.00     3202     0.00     0.00  std::vector<int, std::allocator<int> >::vector(std::vector<int, std::allocator<int> > const&)
  0.00      3.02     0.00     3202     0.00     0.00  void std::_Construct<std::vector<int, std::allocator<int> >, std::vector<int, std::allocator<int> > const&>(std::vector<int, std::allocator<int> >*, std::vector<int, std::allocator<int> > const&)
  0.00      3.02     0.00     3202     0.00     0.00  int* std::__niter_base<int*>(int*)
  0.00      3.02     0.00     3202     0.00     0.00  int* std::__niter_wrap<int*>(int* const&, int*)
  0.00      3.02     0.00     3202     0.00     0.00  int* std::__copy_move_a<false, __gnu_cxx::__normal_iterator<int const*, std::vector<int, std::allocator<int> > >, int*>(__gnu_cxx::__normal_iterator<int const*, std::vector<int, std::allocator<int> > >, __gnu_cxx::__normal_iterator<int const*, std::vector<int, std::allocator<int> > >, int*)
  0.00      3.02     0.00     3202     0.00     0.00  int* std::__copy_move_a1<false, int const*, int*>(int const*, int const*, int*)
  0.00      3.02     0.00     3202     0.00     0.00  int* std::__copy_move_a2<false, int const*, int*>(int const*, int const*, int*)
